OID_,ntacode,ntaname,den_all,den_PT,den_PO,den_LL,den_NM,den_JP,den_FC,den_AE,den_GA,den_RM,den_SL
1,BK40,Windsor Terrace,2052.589949,474.7956572,168.7480526,127.3280761,64.43107464,80.5388433,25.31220789,30.68146411,50.62441579,35.28368373,34.51664713
2,BK50,Canarsie,1169.260045,377.4642222,26.24012667,21.51690387,61.66429769,19.94249627,45.92022168,7.216034836,7.216034836,23.87851527,6.166429769
3,BK68,Fort Greene,2311.856069,352.2019279,150.2902475,153.5574268,128.0734283,107.8169167,15.68246061,30.05804951,36.5924081,34.63210052,39.85958739
4,BK79,Ocean Hill,1876.892168,150.6445871,152.2528923,106.1481432,24.66067973,135.0976368,39.67152827,15.01084853,39.13542653,24.66067973,11.2581364
5,BK44,Madison,1740.321903,349.323203,130.6028191,70.02199339,154.5991202,30.68379486,84.57712685,6.687493751,24.78306508,46.81245625,13.76836949
6,BK77,Bushwick North,1956.771719,184.4869782,106.7172918,103.2608613,53.57467282,91.59540837,62.21574908,18.14626015,73.44914822,29.8117131,26.3552826
7,BK41,Kensington-Ocean Parkway,1812.782993,302.2434449,81.32110625,92.8415963,72.51131974,92.16392041,26.42935953,126.0477147,14.90886948,18.97492479,30.49541484
8,BK75,Bedford,1748.091849,214.5505479,145.8943726,79.87881938,33.66793214,83.83975258,14.85349947,21.12497703,21.78513256,21.12497703,30.03707671
9,BK81,Brownsville,1641.645675,346.3026369,105.6683902,43.45242212,17.77599087,41.14812701,31.60176154,7.900440386,23.70132116,15.47169576,11.85066058
10,BK85,East New York (Pennsylvania Ave),2032.71262,235.4193256,59.96529991,79.39849895,34.42452402,43.30827216,116.04396,28.87218144,24.43030737,16.65702775,23.87507311
11,BK91,East Flatbush-Farragut,1276.070733,236.0307693,100.9321483,39.80864236,84.94600063,30.71847993,49.52571254,15.67269384,36.67410359,12.85160895,12.53815507
12,BK95,Erasmus,1509.070535,146.0151746,108.2142918,128.9677177,40.76565788,58.5543086,25.94178229,16.30626315,27.42416985,11.1179067,30.38894497
13,BK09,Brooklyn Heights-Cobble Hill,2357.941863,401.260006,193.0794115,87.37113034,108.9442489,70.11263546,21.5731186,7.550591511,19.41580674,15.10118302,33.43833383
14,BK64,Prospect Heights,1965.969814,196.8074707,156.8145087,134.713135,70.51390662,86.30060213,22.10137372,36.83562286,64.19922841,30.52094465,32.62583739
15,BK63,Crown Heights South,1759.220595,250.7394871,152.3309787,90.32013781,72.12130407,30.33138956,13.48061758,121.9995891,29.65735868,41.78991451,32.3534822
16,BK21,Seagate-Coney Island,865.5413241,65.85338485,25.56333927,11.11449533,3.3343486,42.23508227,12.22594487,15.83815585,10.83663295,8.891596267,5.0015229
17,BK26,Gravesend,935.8002184,208.681386,63.60141088,11.68890794,26.12814717,22.34644166,23.7216073,7.907202433,13.06407359,11.68890794,11.34511653
18,BK34,Sunset Park East,1646.772799,371.4674467,129.9142835,89.78785343,19.46727796,57.6072511,42.11288701,19.46727796,41.31830423,19.06998657,15.89165547
19,BK27,Bath Beach,1538.831563,283.9791309,90.11883857,44.53547255,89.59489184,42.96363234,28.81707047,19.90997596,8.90709451,29.34101721,23.57760311
20,BK88,Borough Park,1514.924231,276.4198242,82.96583467,82.96583467,117.6678905,37.89304949,37.49417528,10.96904064,29.71612828,23.93245231,17.74990213
21,BK58,Flatlands,1296.355801,401.3332054,67.97890837,38.05233355,114.7515684,23.9808977,58.66401422,5.74748788,20.80986991,25.36822236,10.70221881
22,BK96,Rugby-Remsen Village,1457.86551,351.7055263,149.5077799,33.91916593,57.62965085,35.56572738,62.8986475,7.903494974,34.9071028,22.06392347,4.610372068
23,BK90,East Williamsburg,928.890052,151.9251285,80.64141785,57.24714987,5.504533641,33.30242853,24.21994802,5.504533641,8.807253826,7.98157378,14.86224083
24,BK73,North Side-South Side,2328.93145,131.7277362,230.61683,112.6962503,11.56815814,72.76744636,53.73596039,16.41932123,20.52415154,11.94132453,44.77996699
25,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1374.273984,357.8484334,90.94960185,36.20984148,49.80978195,31.78986083,29.06987274,10.70995311,35.3598452,19.03991665,9.009960557
26,BK33,Carroll Gardens-Columbia Street-Red Hook,1579.942766,275.2765937,131.8430002,70.50944331,37.18648722,50.22590482,41.53295976,17.86883152,19.3176557,24.63001102,16.17853665
27,BK61,Crown Heights North,1967.265119,204.0281322,174.8216511,90.12285594,43.60110392,80.52644073,20.65315449,127.2568105,61.12499257,36.50810137,14.39462282
28,BK69,Clinton Hill,1955.947432,272.8252855,219.8342205,87.09422576,59.81169721,89.71754582,29.38118459,11.54260823,28.33185657,11.54260823,26.23320053
29,BK30,Dyker Heights,1666.144159,506.8995194,63.36243993,37.80145564,97.20374307,34.20131701,74.88288355,7.200277265,11.88045749,27.72106747,17.6406793
30,BK31,Bay Ridge,1830.14655,423.6109146,151.5642682,53.03147228,84.11336238,32.2034016,38.29160688,30.92167417,11.53554684,33.64534495,14.09900169
31,BK43,Midwood,1936.60344,229.8531969,87.84965116,118.5368581,209.3950589,52.6496197,51.14534485,19.25471806,26.47523733,38.50943612,32.49233673
32,BK46,Ocean Parkway South,2113.27221,229.5586609,134.4644399,176.2574415,154.4523972,61.78095886,18.17087025,122.956222,19.3822616,34.52465348,30.89047943
33,BK76,Greenpoint,1470.936063,162.5225792,128.6764135,106.7221439,5.18364699,55.49551483,37.20029016,9.452532746,20.12474714,10.06237357,38.1150514
34,BK25,Homecrest,1803.119131,376.7122025,70.74576157,82.59657442,81.87834334,51.35352236,63.20433521,48.48059803,62.48610413,20.46958584,12.20992839
35,BK28,Bensonhurst West,1282.642213,299.8294467,92.32623455,59.55042128,53.08758487,41.77762113,21.00421836,26.31297685,9.001807868,24.92808333,21.46584953
36,BK29,Bensonhurst East,1481.135849,344.1144214,84.52460875,63.76945571,51.1358843,33.68952377,50.23348634,23.16154759,18.34875848,25.26714283,9.92637754
37,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1306.760679,415.1178756,39.38735166,39.54241998,114.5954838,15.50683136,73.34731235,7.288210741,10.38957701,29.15284296,10.85478195
38,BK82,East New York,1142.90197,151.8470288,53.19247434,37.82371446,15.8289024,30.73751978,100.1270105,9.11082173,8.558650716,13.62021834,6.71808067
39,BK93,Starrett City,814.3306671,216.3501088,20.42790727,79.85454661,0,5.571247438,8.356871156,0.92854124,0.92854124,17.64228355,0
40,BK42,Flatbush,1738.655263,229.2339839,144.9672857,90.45577764,122.5913829,48.79851162,37.61056018,38.56272626,16.90094793,34.2779789,31.65952217
41,BK19,Brighton Beach,1310.856723,228.82004,35.10663628,30.71830674,38.8680616,38.8680616,38.24115738,57.67518817,32.5990194,11.28427595,13.1649886
42,BK23,West Brighton,1043.91896,298.2625601,41.9046572,18.48734876,8.627429423,41.9046572,6.162449588,77.64686481,33.27722778,2.464979835,2.464979835
43,BK72,Williamsburg,1844.689275,390.3120884,129.174715,202.5905602,18.58628992,28.80874938,5.575886977,7.43451597,92.00213513,4.646572481,40.88983783
44,BK32,Sunset Park West,941.5464142,136.2622702,89.26041115,37.94645498,17.03278377,47.21746387,12.07387204,15.09234005,22.85411493,25.22576837,10.56463803
45,BK37,Park Slope-Gowanus,2000.799089,256.1813424,224.2536973,108.9594236,92.99560104,85.14038678,29.90049298,27.3665529,37.24891922,29.64709897,27.6199469
46,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1889.585818,496.6025178,111.1966034,59.00227935,20.04564619,94.93315459,28.7447002,15.12878958,14.75056984,20.80208567,20.80208567
47,BK35,Stuyvesant Heights,1806.874208,331.2659868,132.0262991,77.50115219,43.20860698,74.75774858,17.48919806,19.88967623,29.14866344,18.17504897,24.34770711
48,BK78,Bushwick South,1606.85372,64.08110114,130.3071764,85.26272034,19.30476687,50.13876951,32.71085497,29.49339383,45.31257779,23.05847154,16.08730573
49,BK83,Cypress Hills-City Line,1559.950363,150.1827681,106.4932355,96.35102264,67.48472436,43.29944742,182.5598324,5.461191567,9.752127798,23.40510671,8.971957574
50,BK60,Prospect Lefferts Gardens-Wingate,1478.79187,236.2526606,118.466752,40.16976074,69.44602704,40.16976074,19.40403697,25.53162759,18.38277186,29.616688,29.2762663
51,BK99,park-cemetery-etc-Brooklyn,886.1115289,42.48479933,72.63992687,11.89956697,29.72502271,16.53514125,4.014311748,50.32226513,14.62356422,13.61998629,4.109890599
